DEPT;Departement;Agriculteurs;Industriels;Ecoliers;Esperance_de_vie;Densite_industrie;Pauperisme
1;Ain;706;99;39;34,9;5,3;8
2;Aisne;288;495;78;37,5;7,3;35
3;Allier;601;179;12;32,3;6,5;3
4;Basses-Alpes;679;159;45;31,9;5,1;11
5;Hautes-Alpes;733;81;76;31,7;3;8
7;Ardeche;763;126;31;36,5;9,4;14
8;Ardennes;309;337;94;38,9;10,5;13
9;Ariege;685;163;26;38,5;6,8;16
10;Aube;408;309;91;36,4;4,7;6
11;Aude;601;204;32;37,6;9,4;17
12;Aveyron;704;99;23;39;201;10
13;Bouches-du-Rhone;463;315;32;31,4;13,2;125
14;Calvados;476;269;46;45,9;5,3;23
15;Cantal;631;182;15;41,8;1;9
16;Charente;651;166;41;40,1;6,5;12
17;Charente-Inferieure;637;125;36;37,8;11,6;10
18;Cher;622;225;18;30,6;0,8;14
19;Correze;694;102;12;34,4;1,6;3
21;Cote-d'Or;550;124;82;38,5;4,4;37
22;Cotes-du-Nord;658;139;12;33,5;7,1;6
23;Creuse;284;102;21;39,6;1;3
24;Dordogne;601;139;16;37,8;5,3;2
25;Doubs;587;169;87;38,4;3,6;30
26;Drome;687;109;51;36,9;10,9;32
27;Eure;322;369;49;43,4;12,9;12
28;Eure-et-Loir;515;235;66;38;10;21
29;Finistere;588;142;9;29;1,4;25
30;Gard;606;189;45;36,2;11,2;52
31;Haute-Garonne;544;219;31;39,2;6,6;36
32;Gers;600;206;28;45,4;3,1;10
33;Gironde;461;173;29;40,8;4;42
34;Herault;545;186;43;35,2;13,8;41
35;Ille-et-Vilaine;603;259;13;33,1;1;21
36;Indre;607;211;15;34,6;3,4;12
37;Indre-et-Loire;520;198;17;39,9;4;12
38;Isere;580;189;28;35,2;13,1;19
39;Jura;589;92;71;37,6;9;18
40;Landes;689;127;29;37,2;4,2;9
41;Loir-et-Cher;486;259;34;32,7;4,1;36
42;Loire;447;279;27;31,9;17;20
43;Haute-Loire;757;89;13;38,5;3,7;5
44;Loire-Inferieure;574;196;9;38,5;1,9;37
45;Loiret;471;262;42;32,9;3,2;50
46;Lot;650;137;24;40,7;9,4;7
47;Lot-et-Garonne;531;233;25;45,7;4,7;13
48;Lozere;670;224;32;38,5;0;25
49;Maine-et-Loire;495;295;21;41,3;3,5;54
50;Manche;558;208;15;44;11,2;27
51;Marne;269;292;91;35,9;7,6;47
52;Haute-Marne;380;293;104;42,8;5,7;7
53;Mayenne;515;319;22;38;4,9;21
54;Meurthe;433;174;87;37,6;2,8;35
55;Meuse;250;412;94;39,6;6,8;19
56;Morbihan;654;84;9;32,2;1,9;5
57;Moselle;425;186;82;39,2;4,3;15
58;Nievre;411;172;24;31,7;4,9;8
59;Nord;433;254;61;33,3;41,8;182
60;Oise;395;288;88;40,4;10,6;24
61;Orne;376;449;34;49,2;5,9;7
62;Pas-de-Calais;324;315;82;37,3;29,6;88
63;Puy-de-Dome;682;147;15;37,7;13;19
64;Basses-Pyrenees;621;145;67;43,5;1,8;24
65;Hautes-Pyrenees;604;224;60;45,7;5,6;3
66;Pyrenees-Orientales;595;218;25;31;6,3;21
67;Bas-Rhin;386;237;96;33,6;15,4;29
68;Haut-Rhin;402;389;79;31,2;23,7;13
69;Rhone;395;370;32;31,9;22,2;94
70;Haute-Saone;604;222;82;37,8;4,3;5
71;Saone-et-Loire;628;142;34;32,6;5,2;21
72;Sarthe;479;191;24;40,2;3,1;29
75;Seine;43;507;28;28,7;94,6;166
76;Seine-Inferieure;109;582;46;36,3;24,1;44
77;Seine-et-Marne;586;407;74;35,1;10,2;28
78;Seine-et-Oise;330;40;61;38,3;10,2;36
79;Deux-Sevres;689;141;44;42;4,8;29
80;Somme;180;577;85;40,5;10;24
81;Tarn;597;155;23;37,2;5,4;16
82;Tarn-et-Garonne;590;190;26;41,5;4,3;17
83;Var;539;141;27;35;16,6;29
84;Vaucluse;642;161;38;31,7;9,7;98
85;Vendee;652;163;27;36,6;1,8;15
86;Vienne;613;172;25;42,2;4,7;25
87;Haute-Vienne;572;102;13;30,5;4,1;30
88;Vosges;377;323;65;38,8;13,5;15
89;Yonne;552;184;69;38,2;23,4;14
20;Corse;468;254;50;37,6;0,3;3
